Id	Description	Qty	Unit	Designators	P/N	Manufacturer	MPN	Supplier	SPN
1	Cable, 4 wires	0	m						
2	Connector, Molex KK 254, female, 4 pins	1		X1		Molex	22013047	Digimouse	1234
3	Connector, Molex KK 254, male, 4 pins	1		X3		Molex	22013047	Digimouse	1234
4	Connector, Molex KK 254, male, 4 pins	1		X2	CON4	Molex	22013047	Digimouse	1234
5	Crimp, Molex KK 254, 22-30 AWG	12		X1, X2, X3		Molex	08500030		
6	Sleve, Braided nylon, black, 3mm	1	m	W2	SLV-1				
7	Test	3		X1, X2, X3	ABC	Molex	45454	Mousikey	9999
8	Wire, 0.25 mm², BK	2	m	W2	WIRE2	WiresCo	W1-BK	WireShack	1002
9	Wire, 0.25 mm², RD	1	m	W2	WIRE3	WiresCo	W1-RD	WireShack	1009
10	Wire, 0.25 mm², YE	1	m	W2	WIRE1	WiresCo	W1-YE	WireShack	1001
